# Earnings announcements for the top-weight NDX names.
# GENERATED by `make merge-earnings` from calendars/earnings_fetched.csv
# (yfinance announcement timestamps, US/Eastern).
# weight_pct: point-in-time from data/raw/pit_weights.parquet (weight as of the
# trading day before each announcement; 628 pre-history row(s) fell back to the snapshot).
# Basket membership is still today's top names, so pre-2020 rows carry
# survivorship; that affects the diagnostic phase, not the clean window.
# session: bmo = impact same day, amc/unknown = impact next trading day.
# 11 row(s) have session=unknown and are treated as amc.
# Re-verify sessions against company IR pages before trusting an
# event-sliced result; a wrong session shifts the vol day by one.
date,ticker,session,weight_pct,weight_pct_snapshot
2001-12-18,MU,amc,4.25,4.25
2002-01-16,AMD,amc,3.35,3.35
2002-01-17,MSFT,amc,5.96,5.96
2002-03-21,MU,amc,4.25,4.25
2002-04-16,INTC,amc,2.14,2.14
2002-04-17,AAPL,amc,7.18,7.18
2002-04-17,AMD,amc,3.35,3.35
2002-04-18,MSFT,amc,5.96,5.96
2002-04-23,AMZN,amc,4.74,4.74
2002-05-07,CSCO,amc,2.11,2.11
2002-05-14,WMT,bmo,2.4,2.4
2002-05-22,NVDA,amc,8.34,8.34
2002-06-25,MU,bmo,4.25,4.25
2002-07-16,AAPL,amc,7.18,7.18
2002-07-16,INTC,amc,2.14,2.14
2002-07-17,AMD,amc,3.35,3.35
2002-07-18,MSFT,amc,5.96,5.96
2002-07-23,AMZN,amc,4.74,4.74
2002-08-06,CSCO,amc,2.11,2.11
2002-08-13,WMT,bmo,2.4,2.4
2002-08-15,NVDA,amc,8.34,8.34
2002-09-24,MU,amc,4.25,4.25
2002-10-15,INTC,amc,2.14,2.14
2002-10-16,AAPL,amc,7.18,7.18
2002-10-16,AMD,amc,3.35,3.35
2002-10-17,MSFT,amc,5.96,5.96
2002-10-24,AMZN,amc,4.74,4.74
2002-11-06,CSCO,amc,2.11,2.11
2002-11-07,NVDA,amc,8.34,8.34
2002-11-13,WMT,bmo,2.4,2.4
2002-12-17,MU,amc,4.25,4.25
2003-01-14,INTC,amc,2.14,2.14
2003-01-15,AAPL,amc,7.18,7.18
2003-01-16,AMD,amc,3.35,3.35
2003-01-16,MSFT,amc,5.96,5.96
2003-01-23,AMZN,amc,4.74,4.74
2003-02-04,CSCO,amc,2.11,2.11
2003-02-13,NVDA,amc,8.34,8.34
2003-02-18,WMT,bmo,2.4,2.4
2003-03-20,MU,amc,4.25,4.25
2003-04-15,INTC,amc,2.14,2.14
2003-04-15,MSFT,amc,5.96,5.96
2003-04-16,AAPL,amc,7.18,7.18
2003-04-16,AMD,amc,3.35,3.35
2003-04-24,AMZN,amc,4.74,4.74
2003-05-06,CSCO,amc,2.11,2.11
2003-05-08,NVDA,amc,8.34,8.34
2003-05-13,WMT,bmo,2.4,2.4
2003-06-18,MU,amc,4.25,4.25
2003-07-15,INTC,amc,2.14,2.14
2003-07-16,AAPL,amc,7.18,7.18
2003-07-16,AMD,amc,3.35,3.35
2003-07-17,MSFT,amc,5.96,5.96
2003-07-22,AMZN,amc,4.74,4.74
2003-08-05,CSCO,amc,2.11,2.11
2003-08-07,NVDA,amc,8.34,8.34
2003-08-13,WMT,bmo,2.4,2.4
2003-09-24,MU,amc,4.25,4.25
2003-10-14,INTC,amc,2.14,2.14
2003-10-15,AAPL,amc,7.18,7.18
2003-10-16,AMD,amc,3.35,3.35
2003-10-21,AMZN,amc,4.74,4.74
2003-10-23,MSFT,amc,5.96,5.96
2003-11-05,CSCO,amc,2.11,2.11
2003-11-06,NVDA,amc,8.34,8.34
2003-11-13,WMT,bmo,2.4,2.4
2003-12-23,MU,amc,4.25,4.25
2004-01-14,AAPL,amc,7.18,7.18
2004-01-14,INTC,amc,2.14,2.14
2004-01-20,AMD,amc,3.35,3.35
2004-01-22,MSFT,amc,5.96,5.96
2004-01-27,AMZN,amc,4.74,4.74
2004-02-03,CSCO,amc,2.11,2.11
2004-02-12,NVDA,amc,8.34,8.34
2004-02-19,WMT,bmo,2.4,2.4
2004-03-24,MU,amc,4.25,4.25
2004-04-13,INTC,amc,2.14,2.14
2004-04-14,AAPL,amc,7.18,7.18
2004-04-14,AMD,amc,3.35,3.35
2004-04-22,AMZN,amc,4.74,4.74
2004-04-22,MSFT,amc,5.96,5.96
2004-05-06,NVDA,amc,8.34,8.34
2004-05-11,CSCO,amc,2.11,2.11
2004-05-13,WMT,bmo,2.4,2.4
2004-06-23,MU,amc,4.25,4.25
2004-07-13,INTC,amc,2.14,2.14
2004-07-14,AAPL,bmo,7.18,7.18
2004-07-14,AMD,amc,3.35,3.35
2004-07-22,AMZN,amc,4.74,4.74
2004-07-22,MSFT,amc,5.96,5.96
2004-08-05,NVDA,amc,8.34,8.34
2004-08-10,CSCO,amc,2.11,2.11
2004-08-12,WMT,bmo,2.4,2.4
2004-09-29,MU,amc,4.25,4.25
2004-10-07,AMD,amc,3.35,3.35
2004-10-12,INTC,amc,2.14,2.14
2004-10-13,AAPL,amc,7.18,7.18
2004-10-21,AMZN,amc,4.74,4.74
2004-10-21,GOOGL,amc,6.38,6.38
2004-10-21,MSFT,amc,5.96,5.96
2004-11-04,NVDA,amc,8.34,8.34
2004-11-09,CSCO,amc,2.11,2.11
2004-11-16,WMT,bmo,2.4,2.4
2004-12-22,MU,amc,4.25,4.25
2005-01-11,INTC,amc,2.14,2.14
2005-01-12,AAPL,amc,7.18,7.18
2005-01-18,AMD,amc,3.35,3.35
2005-01-27,MSFT,amc,5.96,5.96
2005-02-01,GOOGL,amc,6.38,6.38
2005-02-02,AMZN,amc,4.74,4.74
2005-02-08,CSCO,amc,2.11,2.11
2005-02-17,NVDA,amc,8.34,8.34
2005-02-17,WMT,bmo,2.4,2.4
2005-03-29,MU,amc,4.25,4.25
2005-04-13,AAPL,amc,7.18,7.18
2005-04-13,AMD,amc,3.35,3.35
2005-04-19,INTC,amc,2.14,2.14
2005-04-21,GOOGL,amc,6.38,6.38
2005-04-26,AMZN,amc,4.74,4.74
2005-04-28,MSFT,amc,5.96,5.96
2005-05-10,CSCO,amc,2.11,2.11
2005-05-12,NVDA,amc,8.34,8.34
2005-05-12,WMT,bmo,2.4,2.4
2005-06-23,MU,amc,4.25,4.25
2005-07-13,AAPL,amc,7.18,7.18
2005-07-13,AMD,amc,3.35,3.35
2005-07-19,INTC,amc,2.14,2.14
2005-07-21,GOOGL,amc,6.38,6.38
2005-07-21,MSFT,amc,5.96,5.96
2005-07-26,AMZN,amc,4.74,4.74
2005-08-09,CSCO,amc,2.11,2.11
2005-08-11,NVDA,amc,8.34,8.34
2005-08-16,WMT,bmo,2.4,2.4
2005-09-29,MU,amc,4.25,4.25
2005-10-11,AAPL,amc,7.18,7.18
2005-10-11,AMD,amc,3.35,3.35
2005-10-18,INTC,amc,2.14,2.14
2005-10-20,GOOGL,amc,6.38,6.38
2005-10-25,AMZN,amc,4.74,4.74
2005-10-27,MSFT,amc,5.96,5.96
2005-11-09,CSCO,amc,2.11,2.11
2005-11-09,NVDA,amc,8.34,8.34
2005-11-14,WMT,bmo,2.4,2.4
2005-12-21,MU,amc,4.25,4.25
2006-01-17,INTC,amc,2.14,2.14
2006-01-18,AAPL,amc,7.18,7.18
2006-01-18,AMD,amc,3.35,3.35
2006-01-26,MSFT,amc,5.96,5.96
2006-01-31,GOOGL,amc,6.38,6.38
2006-02-02,AMZN,amc,4.74,4.74
2006-02-07,CSCO,amc,2.11,2.11
2006-02-16,NVDA,amc,8.34,8.34
2006-02-21,WMT,bmo,2.4,2.4
2006-04-10,MU,amc,4.25,4.25
2006-04-12,AMD,amc,3.35,3.35
2006-04-19,AAPL,amc,7.18,7.18
2006-04-19,INTC,amc,2.14,2.14
2006-04-20,GOOGL,amc,6.38,6.38
2006-04-25,AMZN,amc,4.74,4.74
2006-04-27,MSFT,amc,5.96,5.96
2006-05-09,CSCO,amc,2.11,2.11
2006-05-11,NVDA,amc,8.34,8.34
2006-05-16,WMT,bmo,2.4,2.4
2006-06-28,MU,amc,4.25,4.25
2006-07-19,AAPL,amc,7.18,7.18
2006-07-19,INTC,amc,2.14,2.14
2006-07-20,AMD,amc,3.35,3.35
2006-07-20,GOOGL,amc,6.38,6.38
2006-07-20,MSFT,amc,5.96,5.96
2006-07-25,AMZN,amc,4.74,4.74
2006-08-08,CSCO,amc,2.11,2.11
2006-08-15,WMT,bmo,2.4,2.4
2006-10-05,MU,amc,4.25,4.25
2006-10-17,INTC,amc,2.14,2.14
2006-10-18,AAPL,amc,7.18,7.18
2006-10-18,AMD,amc,3.35,3.35
2006-10-19,GOOGL,amc,6.38,6.38
2006-10-24,AMZN,amc,4.74,4.74
2006-10-26,MSFT,amc,5.96,5.96
2006-11-08,CSCO,amc,2.11,2.11
2006-11-09,NVDA,amc,8.34,8.34
2006-11-14,WMT,bmo,2.4,2.4
2006-12-21,MU,amc,4.25,4.25
2007-01-16,INTC,amc,2.14,2.14
2007-01-17,AAPL,amc,7.18,7.18
2007-01-23,AMD,amc,3.35,3.35
2007-01-25,MSFT,amc,5.96,5.96
2007-01-31,GOOGL,amc,6.38,6.38
2007-02-01,AMZN,amc,4.74,4.74
2007-02-06,CSCO,amc,2.11,2.11
2007-02-13,NVDA,amc,8.34,8.34
2007-02-20,WMT,bmo,2.4,2.4
2007-04-04,MU,amc,4.25,4.25
2007-04-17,INTC,amc,2.14,2.14
2007-04-19,AMD,amc,3.35,3.35
2007-04-19,GOOGL,amc,6.38,6.38
2007-04-24,AMZN,amc,4.74,4.74
2007-04-25,AAPL,amc,7.18,7.18
2007-04-26,MSFT,amc,5.96,5.96
2007-05-08,CSCO,amc,2.11,2.11
2007-05-10,NVDA,amc,8.34,8.34
2007-05-15,WMT,bmo,2.4,2.4
2007-06-28,MU,amc,4.25,4.25
2007-07-17,INTC,amc,2.14,2.14
2007-07-19,AMD,amc,3.35,3.35
2007-07-19,GOOGL,amc,6.38,6.38
2007-07-19,MSFT,amc,5.96,5.96
2007-07-24,AMZN,amc,4.74,4.74
2007-07-25,AAPL,amc,7.18,7.18
2007-08-07,CSCO,amc,2.11,2.11
2007-08-09,NVDA,amc,8.34,8.34
2007-08-14,WMT,bmo,2.4,2.4
2007-10-02,MU,amc,4.25,4.25
2007-10-16,INTC,amc,2.14,2.14
2007-10-18,AMD,amc,3.35,3.35
2007-10-18,GOOGL,amc,6.38,6.38
2007-10-22,AAPL,amc,7.18,7.18
2007-10-23,AMZN,amc,4.74,4.74
2007-10-25,MSFT,amc,5.96,5.96
2007-11-07,CSCO,amc,2.11,2.11
2007-11-08,NVDA,amc,8.34,8.34
2007-11-13,WMT,bmo,2.4,2.4
2007-12-20,MU,amc,4.25,4.25
2008-01-15,INTC,amc,2.14,2.14
2008-01-17,AMD,amc,3.35,3.35
2008-01-22,AAPL,amc,7.18,7.18
2008-01-24,MSFT,amc,5.96,5.96
2008-01-30,AMZN,amc,4.74,4.74
2008-01-31,GOOGL,amc,6.38,6.38
2008-02-06,CSCO,amc,2.11,2.11
2008-02-13,NVDA,amc,8.34,8.34
2008-02-19,WMT,bmo,2.4,2.4
2008-04-02,MU,amc,4.25,4.25
2008-04-15,INTC,amc,2.14,2.14
2008-04-17,AMD,amc,3.35,3.35
2008-04-17,GOOGL,amc,6.38,6.38
2008-04-23,AAPL,amc,7.18,7.18
2008-04-23,AMZN,amc,4.74,4.74
2008-04-24,MSFT,amc,5.96,5.96
2008-05-06,CSCO,amc,2.11,2.11
2008-05-08,NVDA,amc,8.34,8.34
2008-05-13,WMT,bmo,2.4,2.4
2008-06-26,MU,amc,4.25,4.25
2008-07-16,INTC,bmo,2.14,2.14
2008-07-17,AMD,amc,3.35,3.35
2008-07-17,GOOGL,amc,6.38,6.38
2008-07-17,MSFT,amc,5.96,5.96
2008-07-21,AAPL,amc,7.18,7.18
2008-07-23,AMZN,amc,4.74,4.74
2008-08-05,CSCO,amc,2.11,2.11
2008-08-12,NVDA,amc,8.34,8.34
2008-08-14,WMT,bmo,2.4,2.4
2008-10-01,MU,amc,4.25,4.25
2008-10-14,INTC,amc,2.14,2.14
2008-10-16,AMD,amc,3.35,3.35
2008-10-16,GOOGL,amc,6.38,6.38
2008-10-21,AAPL,amc,7.18,7.18
2008-10-22,AMZN,amc,4.74,4.74
2008-10-23,MSFT,amc,5.96,5.96
2008-11-05,CSCO,amc,2.11,2.11
2008-11-06,NVDA,amc,8.34,8.34
2008-11-13,WMT,bmo,2.4,2.4
2008-12-23,MU,amc,4.25,4.25
2009-01-15,INTC,amc,2.14,2.14
2009-01-21,AAPL,amc,7.18,7.18
2009-01-22,AMD,amc,3.35,3.35
2009-01-22,GOOGL,amc,6.38,6.38
2009-01-22,MSFT,bmo,5.96,5.96
2009-01-29,AMZN,amc,4.74,4.74
2009-02-04,CSCO,amc,2.11,2.11
2009-02-10,NVDA,amc,8.34,8.34
2009-02-17,WMT,bmo,2.4,2.4
2009-04-02,MU,amc,4.25,4.25
2009-04-14,INTC,amc,2.14,2.14
2009-04-16,GOOGL,amc,6.38,6.38
2009-04-21,AMD,amc,3.35,3.35
2009-04-22,AAPL,amc,7.18,7.18
2009-04-23,AMZN,amc,4.74,4.74
2009-04-23,MSFT,amc,5.96,5.96
2009-05-06,CSCO,amc,2.11,2.11
2009-05-07,NVDA,amc,8.34,8.34
2009-05-14,WMT,bmo,2.4,2.4
2009-06-25,MU,amc,4.25,4.25
2009-07-14,INTC,amc,2.14,2.14
2009-07-16,GOOGL,amc,6.38,6.38
2009-07-21,AAPL,amc,7.18,7.18
2009-07-21,AMD,amc,3.35,3.35
2009-07-23,AMZN,amc,4.74,4.74
2009-07-23,MSFT,amc,5.96,5.96
2009-08-05,CSCO,amc,2.11,2.11
2009-08-06,NVDA,amc,8.34,8.34
2009-08-13,WMT,bmo,2.4,2.4
2009-09-29,MU,amc,4.25,4.25
2009-10-13,INTC,amc,2.14,2.14
2009-10-15,AMD,amc,3.35,3.35
2009-10-15,GOOGL,amc,6.38,6.38
2009-10-19,AAPL,amc,7.18,7.18
2009-10-22,AMZN,amc,4.74,4.74
2009-10-23,MSFT,bmo,5.96,5.96
2009-11-04,CSCO,amc,2.11,2.11
2009-11-05,NVDA,amc,8.34,8.34
2009-11-12,WMT,bmo,2.4,2.4
2009-12-03,AVGO,amc,3.17,3.17
2009-12-22,MU,amc,4.25,4.25
2010-01-14,INTC,amc,2.14,2.14
2010-01-21,AMD,amc,3.35,3.35
2010-01-21,GOOGL,amc,6.38,6.38
2010-01-25,AAPL,amc,7.18,7.18
2010-01-28,AMZN,amc,4.74,4.74
2010-01-28,MSFT,amc,5.96,5.96
2010-02-03,CSCO,amc,2.11,2.11
2010-02-17,NVDA,amc,8.34,8.34
2010-02-18,WMT,bmo,2.4,2.4
2010-02-24,AVGO,amc,3.17,3.17
2010-03-31,MU,amc,4.25,4.25
2010-04-13,INTC,unknown,2.14,2.14
2010-04-15,AMD,unknown,3.35,3.35
2010-04-20,AAPL,amc,7.18,7.18
2010-04-22,AMZN,amc,4.74,4.74
2010-04-22,MSFT,unknown,5.96,5.96
2010-05-05,GOOGL,amc,6.38,6.38
2010-05-12,CSCO,amc,2.11,2.11
2010-05-13,NVDA,amc,8.34,8.34
2010-05-18,WMT,bmo,2.4,2.4
2010-05-26,AVGO,amc,3.17,3.17
2010-06-28,MU,amc,4.25,4.25
2010-07-13,INTC,amc,2.14,2.14
2010-07-15,AMD,amc,3.35,3.35
2010-07-15,GOOGL,amc,6.38,6.38
2010-07-20,AAPL,amc,7.18,7.18
2010-07-22,AMZN,amc,4.74,4.74
2010-07-22,MSFT,amc,5.96,5.96
2010-08-11,CSCO,amc,2.11,2.11
2010-08-12,NVDA,amc,8.34,8.34
2010-08-17,WMT,bmo,2.4,2.4
2010-08-24,AVGO,amc,3.17,3.17
2010-09-01,AVGO,amc,3.17,3.17
2010-10-07,MU,amc,4.25,4.25
2010-10-12,INTC,amc,2.14,2.14
2010-10-14,AMD,amc,3.35,3.35
2010-10-14,GOOGL,amc,6.38,6.38
2010-10-18,AAPL,amc,7.18,7.18
2010-10-21,AMZN,amc,4.74,4.74
2010-10-28,MSFT,amc,5.96,5.96
2010-11-09,TSLA,amc,2.62,2.62
2010-11-10,CSCO,amc,2.11,2.11
2010-11-11,NVDA,amc,8.34,8.34
2010-11-16,WMT,bmo,2.4,2.4
2010-12-02,AVGO,amc,3.17,3.17
2010-12-22,MU,amc,4.25,4.25
2011-01-13,INTC,amc,2.14,2.14
2011-01-18,AAPL,amc,7.18,7.18
2011-01-20,AMD,amc,3.35,3.35
2011-01-20,GOOGL,amc,6.38,6.38
2011-01-27,AMZN,amc,4.74,4.74
2011-01-27,MSFT,amc,5.96,5.96
2011-02-09,CSCO,amc,2.11,2.11
2011-02-15,TSLA,amc,2.62,2.62
2011-02-16,NVDA,amc,8.34,8.34
2011-02-22,WMT,bmo,2.4,2.4
2011-02-23,AVGO,amc,3.17,3.17
2011-03-23,MU,unknown,4.25,4.25
2011-04-14,GOOGL,amc,6.38,6.38
2011-04-19,INTC,amc,2.14,2.14
2011-04-20,AAPL,amc,7.18,7.18
2011-04-21,AMD,amc,3.35,3.35
2011-04-26,AMZN,amc,4.74,4.74
2011-04-28,MSFT,amc,5.96,5.96
2011-05-04,TSLA,amc,2.62,2.62
2011-05-11,CSCO,amc,2.11,2.11
2011-05-12,NVDA,amc,8.34,8.34
2011-05-17,WMT,bmo,2.4,2.4
2011-05-24,AVGO,amc,3.17,3.17
2011-06-23,MU,amc,4.25,4.25
2011-07-14,GOOGL,amc,6.38,6.38
2011-07-19,AAPL,amc,7.18,7.18
2011-07-20,INTC,amc,2.14,2.14
2011-07-21,AMD,amc,3.35,3.35
2011-07-21,MSFT,amc,5.96,5.96
2011-07-26,AMZN,amc,4.74,4.74
2011-08-03,TSLA,amc,2.62,2.62
2011-08-10,CSCO,amc,2.11,2.11
2011-08-11,NVDA,amc,8.34,8.34
2011-08-16,WMT,bmo,2.4,2.4
2011-08-23,AVGO,amc,3.17,3.17
2011-09-29,MU,unknown,4.25,4.25
2011-10-13,GOOGL,amc,6.38,6.38
2011-10-18,AAPL,amc,7.18,7.18
2011-10-18,INTC,amc,2.14,2.14
2011-10-20,MSFT,amc,5.96,5.96
2011-10-25,AMZN,amc,4.74,4.74
2011-10-27,AMD,amc,3.35,3.35
2011-11-02,TSLA,amc,2.62,2.62
2011-11-09,CSCO,amc,2.11,2.11
2011-11-10,NVDA,amc,8.34,8.34
2011-11-15,WMT,bmo,2.4,2.4
2011-12-01,AVGO,amc,3.17,3.17
2011-12-21,MU,amc,4.25,4.25
2012-01-19,GOOGL,amc,6.38,6.38
2012-01-19,INTC,amc,2.14,2.14
2012-01-19,MSFT,amc,5.96,5.96
2012-01-24,AAPL,amc,7.18,7.18
2012-01-24,AMD,amc,3.35,3.35
2012-01-31,AMZN,amc,4.74,4.74
2012-02-08,CSCO,amc,2.11,2.11
2012-02-15,NVDA,amc,8.34,8.34
2012-02-15,TSLA,amc,2.62,2.62
2012-02-21,WMT,bmo,2.4,2.4
2012-02-22,AVGO,amc,3.17,3.17
2012-03-22,MU,amc,4.25,4.25
2012-04-12,GOOGL,amc,6.38,6.38
2012-04-17,INTC,amc,2.14,2.14
2012-04-19,AMD,amc,3.35,3.35
2012-04-19,MSFT,amc,5.96,5.96
2012-04-24,AAPL,amc,7.18,7.18
2012-04-26,AMZN,amc,4.74,4.74
2012-05-09,CSCO,amc,2.11,2.11
2012-05-09,TSLA,amc,2.62,2.62
2012-05-11,NVDA,bmo,8.34,8.34
2012-05-17,WMT,bmo,2.4,2.4
2012-05-22,AVGO,amc,3.17,3.17
2012-06-20,MU,amc,4.25,4.25
2012-07-17,INTC,amc,2.14,2.14
2012-07-19,AMD,amc,3.35,3.35
2012-07-19,GOOGL,amc,6.38,6.38
2012-07-19,MSFT,amc,5.96,5.96
2012-07-24,AAPL,amc,7.18,7.18
2012-07-25,TSLA,amc,2.62,2.62
2012-07-26,AMZN,amc,4.74,4.74
2012-07-26,META,amc,2.79,2.79
2012-08-09,NVDA,amc,8.34,8.34
2012-08-15,CSCO,amc,2.11,2.11
2012-08-16,AVGO,amc,3.17,3.17
2012-08-16,WMT,bmo,2.4,2.4
2012-09-27,MU,amc,4.25,4.25
2012-10-16,INTC,amc,2.14,2.14
2012-10-18,AMD,amc,3.35,3.35
2012-10-18,GOOGL,unknown,6.38,6.38
2012-10-18,MSFT,amc,5.96,5.96
2012-10-23,META,amc,2.79,2.79
2012-10-25,AAPL,amc,7.18,7.18
2012-10-25,AMZN,amc,4.74,4.74
2012-11-05,TSLA,bmo,2.62,2.62
2012-11-08,NVDA,amc,8.34,8.34
2012-11-13,CSCO,amc,2.11,2.11
2012-11-15,WMT,bmo,2.4,2.4
2012-11-29,AVGO,amc,3.17,3.17
2012-12-20,MU,amc,4.25,4.25
2013-01-17,INTC,amc,2.14,2.14
2013-01-22,AMD,amc,3.35,3.35
2013-01-22,GOOGL,amc,6.38,6.38
2013-01-23,AAPL,amc,7.18,7.18
2013-01-24,MSFT,amc,5.96,5.96
2013-01-29,AMZN,amc,4.74,4.74
2013-01-30,META,amc,2.79,2.79
2013-02-13,CSCO,amc,2.11,2.11
2013-02-13,NVDA,amc,8.34,8.34
2013-02-20,TSLA,amc,2.62,2.62
2013-02-21,WMT,bmo,2.4,2.4
2013-02-26,AVGO,amc,3.17,3.17
2013-03-21,MU,amc,4.25,4.25
2013-04-16,INTC,amc,2.14,2.14
2013-04-18,AMD,amc,3.35,3.35
2013-04-18,GOOGL,amc,6.38,6.38
2013-04-18,MSFT,amc,5.96,5.96
2013-04-23,AAPL,amc,7.18,7.18
2013-04-25,AMZN,amc,4.74,4.74
2013-05-01,META,amc,2.79,2.79
2013-05-08,TSLA,amc,2.62,2.62
2013-05-09,NVDA,amc,8.34,8.34
2013-05-15,CSCO,amc,2.11,2.11
2013-05-16,WMT,bmo,2.4,2.4
2013-05-29,AVGO,amc,3.17,3.17
2013-06-19,MU,amc,4.25,4.25
2013-07-17,INTC,amc,2.14,2.14
2013-07-18,AMD,amc,3.35,3.35
2013-07-18,GOOGL,amc,6.38,6.38
2013-07-18,MSFT,amc,5.96,5.96
2013-07-23,AAPL,amc,7.18,7.18
2013-07-24,META,amc,2.79,2.79
2013-07-25,AMZN,amc,4.74,4.74
2013-08-07,TSLA,amc,2.62,2.62
2013-08-08,NVDA,amc,8.34,8.34
2013-08-14,CSCO,amc,2.11,2.11
2013-08-15,WMT,bmo,2.4,2.4
2013-08-27,AVGO,amc,3.17,3.17
2013-10-10,MU,amc,4.25,4.25
2013-10-15,INTC,amc,2.14,2.14
2013-10-17,AMD,amc,3.35,3.35
2013-10-17,GOOGL,amc,6.38,6.38
2013-10-24,AMZN,amc,4.74,4.74
2013-10-24,MSFT,amc,5.96,5.96
2013-10-28,AAPL,amc,7.18,7.18
2013-10-30,META,amc,2.79,2.79
2013-11-05,TSLA,amc,2.62,2.62
2013-11-07,NVDA,amc,8.34,8.34
2013-11-13,CSCO,amc,2.11,2.11
2013-11-14,WMT,bmo,2.4,2.4
2013-12-04,AVGO,amc,3.17,3.17
2014-01-07,MU,amc,4.25,4.25
2014-01-16,INTC,amc,2.14,2.14
2014-01-21,AMD,amc,3.35,3.35
2014-01-23,MSFT,amc,5.96,5.96
2014-01-27,AAPL,amc,7.18,7.18
2014-01-29,META,amc,2.79,2.79
2014-01-30,AMZN,amc,4.74,4.74
2014-01-30,GOOGL,amc,6.38,6.38
2014-02-12,CSCO,amc,2.11,2.11
2014-02-12,NVDA,amc,8.34,8.34
2014-02-19,TSLA,amc,2.62,2.62
2014-02-20,WMT,bmo,2.4,2.4
2014-02-25,AVGO,amc,3.17,3.17
2014-04-03,MU,amc,4.25,4.25
2014-04-16,GOOGL,amc,6.38,6.38
2014-04-17,AMD,amc,3.35,3.35
2014-04-23,AAPL,amc,7.18,7.18
2014-04-23,META,amc,2.79,2.79
2014-04-24,AMZN,amc,4.74,4.74
2014-04-24,MSFT,amc,5.96,5.96
2014-04-25,INTC,amc,2.14,2.14
2014-05-08,NVDA,amc,8.34,8.34
2014-05-09,TSLA,amc,2.62,2.62
2014-05-14,CSCO,amc,2.11,2.11
2014-05-15,WMT,bmo,2.4,2.4
2014-05-29,AVGO,amc,3.17,3.17
2014-06-23,MU,amc,4.25,4.25
2014-07-15,INTC,amc,2.14,2.14
2014-07-17,AMD,amc,3.35,3.35
2014-07-17,GOOGL,amc,6.38,6.38
2014-07-22,AAPL,amc,7.18,7.18
2014-07-22,MSFT,amc,5.96,5.96
2014-07-23,META,amc,2.79,2.79
2014-07-24,AMZN,amc,4.74,4.74
2014-07-31,TSLA,amc,2.62,2.62
2014-08-07,NVDA,amc,8.34,8.34
2014-08-13,CSCO,amc,2.11,2.11
2014-08-14,WMT,bmo,2.4,2.4
2014-08-28,AVGO,amc,3.17,3.17
2014-09-25,MU,amc,4.25,4.25
2014-10-14,INTC,amc,2.14,2.14
2014-10-16,AMD,amc,3.35,3.35
2014-10-16,GOOGL,amc,6.38,6.38
2014-10-20,AAPL,amc,7.18,7.18
2014-10-23,AMZN,amc,4.74,4.74
2014-10-23,MSFT,amc,5.96,5.96
2014-10-28,META,amc,2.79,2.79
2014-11-05,TSLA,amc,2.62,2.62
2014-11-06,NVDA,amc,8.34,8.34
2014-11-12,CSCO,amc,2.11,2.11
2014-11-13,WMT,bmo,2.4,2.4
2014-12-03,AVGO,amc,3.17,3.17
2015-01-06,MU,amc,4.25,4.25
2015-01-15,INTC,amc,2.14,2.14
2015-01-20,AMD,amc,3.35,3.35
2015-01-26,MSFT,amc,5.96,5.96
2015-01-27,AAPL,amc,7.18,7.18
2015-01-28,META,amc,2.79,2.79
2015-01-29,AMZN,amc,4.74,4.74
2015-01-29,GOOGL,amc,6.38,6.38
2015-02-11,CSCO,amc,2.11,2.11
2015-02-11,NVDA,amc,8.34,8.34
2015-02-11,TSLA,amc,2.62,2.62
2015-02-19,WMT,bmo,2.4,2.4
2015-02-25,AVGO,amc,3.17,3.17
2015-04-01,MU,amc,4.25,4.25
2015-04-16,AMD,amc,3.35,3.35
2015-04-22,META,amc,2.79,2.79
2015-04-23,AMZN,amc,4.74,4.74
2015-04-23,GOOGL,amc,6.38,6.38
2015-04-23,MSFT,amc,5.96,5.96
2015-04-27,AAPL,amc,7.18,7.18
2015-04-27,INTC,amc,2.14,2.14
2015-05-06,TSLA,amc,2.62,2.62
