feature_a,feature_b,pearson,spearman
lrv_d,lrv_w,0.8008966503443645,0.7828537762737187
lrv_d,lrv_m,0.645894737485741,0.6276285873665505
lrv_d,liv,0.763378199309433,0.7431650109130887
lrv_w,lrv_m,0.8156893014668073,0.8021666853729481
lrv_w,liv,0.8747552361787307,0.8578233646357335
lrv_m,liv,0.8474725672235051,0.8231491051387049
